2.855389,12.000000,0.416667,0.250000,0.000000,0.000000.1,0.000000.2
2.987773,26.0,0.538462,0.11538499999999999,0.0,0.0,0.0
4.362507,44.0,0.340909,0.363636,0.0,0.0,0.0
3.8279099999999997,23.0,0.086957,0.608696,0.0,0.0,0.0
4.345118,41.0,0.268293,0.268293,2.0,0.0,0.0
3.3060389999999997,35.0,0.257143,0.4,0.0,0.0,0.0
3.8890839999999995,56.0,0.089286,0.0,0.0,0.0,0.0
4.180003,31.0,0.032257999999999995,0.0,0.0,0.0,0.0
4.388694,54.0,0.092593,0.0,1.0,0.0,0.0
4.182907,34.0,0.029412,0.0,0.0,0.0,0.0
4.204828,45.0,0.044444,0.0,0.0,0.0,0.0
4.4051860000000005,51.0,0.039216,0.0,1.0,0.0,0.0
4.284118,52.0,0.038462,0.0,0.0,0.0,0.0
4.632906,68.0,0.058824,0.0,0.0,0.0,0.0
4.336563,49.0,0.040816000000000005,0.0,0.0,0.0,0.0
4.284118,52.0,0.038462,0.0,0.0,0.0,0.0
4.287923999999999,55.0,0.054545,0.0,0.0,0.0,0.0
4.245655999999999,52.0,0.038462,0.0,0.0,0.0,0.0
4.373969000000001,57.0,0.052632000000000005,0.0,0.0,0.0,0.0
4.395512,61.0,0.081967,0.0,0.0,0.0,0.0
4.464468,60.0,0.06666699999999999,0.0,0.0,0.0,0.0
4.34136,59.0,0.033898000000000005,0.0,1.0,0.0,0.0
4.445457,59.0,0.033898000000000005,0.0,1.0,0.0,0.0
4.529203,71.0,0.084507,0.028169,1.0,0.0,0.0
4.173557,30.0,0.06666699999999999,0.0,1.0,0.0,0.0
4.112684,75.0,0.026667000000000003,0.0,1.0,0.0,0.0
4.251989,61.0,0.06557400000000001,0.0,1.0,0.0,0.0
4.864668,112.0,0.008929000000000001,0.508929,0.0,0.0,0.0
4.894767,162.0,0.006173,0.450617,0.0,0.0,0.0
4.922233,180.0,0.005556,0.40555599999999997,0.0,0.0,0.0
4.470766,53.0,0.018868,0.245283,0.0,0.0,0.0
4.7869660000000005,75.0,0.013333000000000001,0.186667,1.0,0.0,0.0
4.718563,50.0,0.02,0.14,1.0,0.0,0.0
4.768367,50.0,0.02,0.32,1.0,0.0,0.0
4.294653,36.0,0.0,0.055555999999999994,1.0,0.0,0.0
4.110576999999999,28.0,0.0,0.0,1.0,0.0,0.0
4.229004,35.0,0.028571,0.0,1.0,0.0,0.0
4.874479,98.0,0.010204000000000001,0.10204099999999999,1.0,0.0,0.0
3.892407,19.0,0.0,0.0,0.0,0.0,0.0
4.609593,75.0,0.026667000000000003,0.053333000000000005,1.0,0.0,0.0
4.817182,94.0,0.021277,0.042553,1.0,0.0,0.0
4.909224,144.0,0.055555999999999994,0.027777999999999997,1.0,0.0,0.0
5.391822,176.0,0.051136,0.255682,1.0,0.0,0.0
4.722837999999999,174.0,0.0,0.028736,1.0,0.0,0.0
4.762383,168.0,0.011904999999999999,0.047619,0.0,0.0,0.0
4.303831,43.0,0.046512,0.0,1.0,0.0,0.0
4.2818830000000005,63.0,0.031745999999999996,0.0,1.0,0.0,0.0
4.457148999999999,77.0,0.038961,0.0,0.0,0.0,0.0
4.470836,72.0,0.027777999999999997,0.013888999999999999,0.0,0.0,0.0
4.49426,90.0,0.022222,0.022222,0.0,0.0,0.0
4.585026,76.0,0.013158000000000001,0.013158000000000001,0.0,0.0,0.0
4.206226,37.0,0.216216,0.081081,0.0,0.0,0.0
4.806044,90.0,0.11111099999999999,0.0,0.0,0.0,0.0
4.5568480000000005,83.0,0.12048199999999999,0.0,0.0,0.0,0.0
4.5658900000000004,65.0,0.030769,0.046154,0.0,0.0,0.0
4.457148999999999,77.0,0.038961,0.0,0.0,0.0,0.0
4.480295,64.0,0.03125,0.015625,0.0,0.0,0.0
4.4639489999999995,89.0,0.022472,0.022472,0.0,0.0,0.0
4.571764,98.0,0.010204000000000001,0.010204000000000001,0.0,0.0,0.0
4.7826699999999995,69.0,0.15942,0.043477999999999996,0.0,0.0,0.0
4.327154,62.0,0.290323,0.0,0.0,58.0,0.0
4.608893,79.0,0.227848,0.037975,0.0,75.0,0.0
4.33595,53.0,0.056603999999999995,0.0,1.0,0.0,0.0
4.0131760000000005,41.0,0.048780000000000004,0.0,1.0,0.0,0.0
5.291961,317.0,0.025237,0.170347,1.0,0.0,0.0
3.876356,41.0,0.0,0.0,1.0,0.0,0.0
3.794653,18.0,0.0,0.0,0.0,0.0,0.0
4.260066999999999,36.0,0.0,0.0,0.0,0.0,0.0
4.6074660000000005,53.0,0.0,0.056603999999999995,1.0,0.0,0.0
4.891708,62.0,0.112903,0.0,1.0,0.0,0.0
4.473959,66.0,0.0,0.0,1.0,0.0,0.0
4.854611,144.0,0.048611,0.0,1.0,0.0,0.0
4.546273,84.0,0.0,0.0,1.0,0.0,0.0
4.33793,61.0,0.0,0.0,0.0,0.0,0.0
4.115054,51.0,0.0,0.0,0.0,0.0,0.0
5.331529,174.0,0.051724,0.258621,0.0,0.0,0.0
5.2253680000000005,186.0,0.010753,0.24193499999999998,0.0,0.0,0.0
4.547068,67.0,0.0,0.059701,1.0,0.0,0.0
4.298212,62.0,0.0,0.0,0.0,0.0,0.0
4.381275,65.0,0.0,0.0,0.0,0.0,0.0
4.359374,73.0,0.0,0.027397,0.0,0.0,0.0
4.648293,102.0,0.0,0.019608,0.0,0.0,0.0
4.105129,55.0,0.0,0.21818200000000001,0.0,0.0,0.0
4.56609,111.0,0.045045,0.0,0.0,0.0,0.0
3.573115,29.0,0.0,0.0,1.0,0.0,0.0
4.449521,43.0,0.023256,0.0,1.0,0.0,0.0
4.449184,107.0,0.018692,0.0,1.0,0.0,0.0
4.432111,104.0,0.009615,0.0,1.0,0.0,0.0
4.654634,111.0,0.09009,0.0,1.0,0.0,0.0
4.405194,83.0,0.012048,0.0,1.0,0.0,0.0
4.345034,88.0,0.022727,0.0,1.0,0.0,0.0
4.3391910000000005,89.0,0.022472,0.0,1.0,0.0,0.0
4.422813,152.0,0.22368400000000002,0.0,1.0,0.0,0.0
4.416083,47.0,0.21276599999999998,0.0,1.0,0.0,0.0
4.3729059999999995,60.0,0.06666699999999999,0.0,2.0,0.0,0.0
4.296439,40.0,0.025,0.0,0.0,0.0,0.0
4.4485220000000005,58.0,0.017241,0.0,0.0,0.0,0.0
4.283693,85.0,0.023528999999999998,0.0,1.0,0.0,0.0
4.32809,100.0,0.02,0.0,1.0,0.0,0.0
4.218335,49.0,0.10204099999999999,0.0,0.0,0.0,0.0
4.410448000000001,75.0,0.026667000000000003,0.0,1.0,0.0,0.0
4.21689,48.0,0.083333,0.0,0.0,0.0,0.0
4.437115,75.0,0.026667000000000003,0.0,1.0,0.0,0.0
4.21689,48.0,0.083333,0.0,0.0,0.0,0.0
4.887189,109.0,0.045872,0.165138,0.0,0.0,0.0
3.6292199999999997,22.0,0.090909,0.090909,0.0,0.0,0.0
5.276376,132.0,0.128788,0.212121,0.0,0.0,0.0
5.3807730000000005,125.0,0.12,0.224,0.0,0.0,0.0
3.776493,37.0,0.0,0.0,0.0,0.0,0.0
5.4333849999999995,123.0,0.121951,0.227642,0.0,0.0,0.0
4.198708,49.0,0.0,0.0,0.0,0.0,0.0
5.4294,123.0,0.121951,0.227642,0.0,0.0,0.0
4.233445,56.0,0.0,0.0,0.0,0.0,0.0
5.23482,142.0,0.119718,0.197183,0.0,0.0,0.0
5.2492,142.0,0.119718,0.197183,0.0,0.0,0.0
4.008132,26.0,0.0,0.153846,0.0,0.0,0.0
5.358134,162.0,0.092593,0.17284000000000002,0.0,0.0,0.0
4.318159,96.0,0.15625,0.0,1.0,0.0,0.0
4.312880000000001,56.0,0.0,0.0,1.0,0.0,0.0
4.5632470000000005,62.0,0.0,0.0,1.0,0.0,0.0
4.566135,73.0,0.013699000000000001,0.0,1.0,0.0,0.0
4.599937000000001,81.0,0.0,0.0,1.0,0.0,0.0
4.550434,67.0,0.0,0.0,1.0,0.0,0.0
4.613561,78.0,0.0,0.0,1.0,0.0,0.0
4.6996459999999995,111.0,0.009009,0.036036,0.0,0.0,0.0
4.7929330000000006,91.0,0.010989,0.065934,1.0,0.0,0.0
4.820162,52.0,0.038462,0.307692,1.0,0.0,0.0
4.87637,55.0,0.036364,0.29090900000000003,1.0,0.0,0.0
4.893233,54.0,0.037037,0.296296,1.0,0.0,0.0
4.946411,57.0,0.035088,0.280702,1.0,0.0,0.0
4.946411,57.0,0.035088,0.280702,1.0,0.0,0.0
4.812273,53.0,0.037736,0.301887,1.0,0.0,0.0
4.812273,53.0,0.037736,0.301887,1.0,0.0,0.0
4.812273,53.0,0.037736,0.301887,1.0,0.0,0.0
4.642371,52.0,0.038462,0.173077,1.0,0.0,0.0
4.236441,48.0,0.0625,0.0,1.0,0.0,0.0
4.3516129999999995,52.0,0.0,0.0,1.0,0.0,0.0
4.2849010000000005,39.0,0.05128200000000001,0.0,1.0,0.0,0.0
4.4204300000000005,68.0,0.029412,0.014706,1.0,0.0,0.0
4.252892,49.0,0.081633,0.0,1.0,0.0,0.0
4.338013,55.0,0.0,0.0,1.0,0.0,0.0
4.296439,40.0,0.075,0.0,1.0,0.0,0.0
4.485759,109.0,0.055046000000000005,0.027523000000000002,0.0,0.0,0.0
4.882134,93.0,0.032257999999999995,0.11828,0.0,0.0,0.0
4.796218,52.0,0.019231,0.173077,0.0,0.0,0.0
4.767279,55.0,0.036364,0.163636,0.0,0.0,0.0
4.288765,45.0,0.0,0.0,0.0,0.0,0.0
4.416175,50.0,0.0,0.08,0.0,0.0,0.0
4.517981,115.0,0.0,0.034783,1.0,0.0,0.0
3.446439,40.0,0.0,0.0,0.0,0.0,0.0
3.828238,27.0,0.148148,0.0,0.0,0.0,0.0
4.396414,58.0,0.0,0.0,0.0,0.0,0.0
4.40731,64.0,0.015625,0.0,0.0,0.0,0.0
4.313549,54.0,0.0,0.0,0.0,0.0,0.0
4.396414,58.0,0.0,0.0,0.0,0.0,0.0
4.5240800000000005,81.0,0.012346,0.0,0.0,0.0,0.0
4.524792,51.0,0.0,0.078431,0.0,0.0,0.0
4.152569000000001,48.0,0.0,0.0,0.0,0.0,0.0
4.426616,52.0,0.0,0.076923,0.0,0.0,0.0
4.239764,43.0,0.069767,0.0,0.0,0.0,0.0
4.662129,108.0,0.083333,0.037037,0.0,0.0,0.0
4.656082,284.0,0.042254,0.028169,1.0,0.0,0.0
4.416331,73.0,0.0,0.013699000000000001,0.0,0.0,0.0
4.097874,45.0,0.06666699999999999,0.0,0.0,0.0,0.0
4.224119,49.0,0.0,0.0,0.0,0.0,0.0
2.913977,11.0,0.181818,0.0,1.0,0.0,0.0
2.807355,14.0,0.14285699999999998,0.0,1.0,0.0,0.0
2.155639,8.0,0.0,0.0,0.0,0.0,0.0
2.324863,14.0,0.0,0.0,0.0,0.0,0.0
2.155639,8.0,0.375,0.0,0.0,0.0,0.0
2.75,8.0,0.25,0.125,0.0,0.0,0.0
2.921928,10.0,0.2,0.1,0.0,0.0,0.0
3.7841839999999998,20.0,0.1,0.0,0.0,0.0,0.0
3.3787830000000003,14.0,0.07142899999999999,0.428571,0.0,0.0,0.0
3.115834,19.0,0.315789,0.315789,0.0,0.0,0.0
2.6235169999999997,13.0,0.0,0.153846,0.0,0.0,0.0
3.621928,20.0,0.0,0.15,0.0,0.0,0.0
4.424,72.0,0.0,0.0,0.0,0.0,0.0
4.5808089999999995,73.0,0.082192,0.0,0.0,0.0,0.0
2.0,8.0,0.0,0.0,0.0,0.0,0.0
3.25,16.0,0.0,0.0,0.0,0.0,0.0
2.7254810000000003,9.0,0.22222199999999998,0.0,0.0,0.0,0.0
2.655639,16.0,0.125,0.0,0.0,0.0,0.0
2.655639,16.0,0.125,0.0,0.0,0.0,0.0
2.9477029999999997,9.0,0.22222199999999998,0.11111099999999999,0.0,0.0,0.0
3.9377519999999997,31.0,0.12903199999999998,0.12903199999999998,0.0,0.0,0.0
4.506891,30.0,0.1,0.13333299999999998,1.0,0.0,0.0
4.506891,30.0,0.1,0.13333299999999998,1.0,0.0,0.0
4.506891,30.0,0.1,0.13333299999999998,1.0,0.0,0.0
4.506891,30.0,0.1,0.13333299999999998,1.0,0.0,0.0
2.663533,11.0,0.181818,0.0,1.0,0.0,0.0
2.8553889999999997,12.0,0.166667,0.0,1.0,0.0,0.0
2.7254810000000003,9.0,0.22222199999999998,0.0,0.0,0.0,0.0
2.503258,9.0,0.22222199999999998,0.0,1.0,0.0,0.0
2.7773630000000002,13.0,0.0,0.0,0.0,0.0,0.0
3.784942,21.0,0.0,0.190476,0.0,0.0,0.0
3.923856,25.0,0.0,0.16,0.0,0.0,0.0
3.3787830000000003,14.0,0.14285699999999998,0.428571,1.0,0.0,0.0
4.173557,30.0,0.033333,0.0,0.0,0.0,0.0
4.582911,84.0,0.023809999999999998,0.0,1.0,0.0,0.0
2.121928,10.0,0.0,0.0,0.0,0.0,0.0
4.257111,31.0,0.06451599999999999,0.258065,0.0,0.0,0.0
2.973557,15.0,0.13333299999999998,0.0,1.0,0.0,0.0
2.977217,16.0,0.3125,0.4375,0.0,0.0,0.0
4.307355,28.0,0.07142899999999999,0.178571,1.0,0.0,0.0
4.440404,34.0,0.117647,0.147059,1.0,0.0,0.0
4.083856,25.0,0.16,0.2,1.0,0.0,0.0
3.8349629999999997,24.0,0.25,0.208333,1.0,0.0,0.0
4.088221,27.0,0.074074,0.185185,1.0,0.0,0.0
3.8208889999999998,21.0,0.190476,0.23809499999999997,1.0,0.0,0.0
3.616875,17.0,0.0,0.0,1.0,0.0,0.0
3.594466,21.0,0.095238,0.0,1.0,0.0,0.0
4.589935,97.0,0.041237,0.0,1.0,0.0,0.0
4.929737,143.0,0.174825,0.076923,1.0,0.0,0.0
4.440224,30.0,0.06666699999999999,0.166667,1.0,0.0,0.0
4.558814,36.0,0.11111099999999999,0.138889,1.0,0.0,0.0
4.236369,27.0,0.148148,0.185185,1.0,0.0,0.0
4.008132,26.0,0.230769,0.19230799999999998,1.0,0.0,0.0
4.237291,29.0,0.068966,0.172414,1.0,0.0,0.0
4.001823,23.0,0.173913,0.21739099999999997,1.0,0.0,0.0
3.826875,19.0,0.0,0.0,1.0,0.0,0.0
3.795089,23.0,0.086957,0.0,1.0,0.0,0.0
4.659984,99.0,0.040404,0.0,1.0,0.0,0.0
4.980535,145.0,0.172414,0.075862,1.0,0.0,0.0
4.132944,26.0,0.153846,0.461538,1.0,0.0,0.0
3.989779,39.0,0.076923,0.564103,0.0,0.0,0.0
3.799874,35.0,0.085714,0.628571,0.0,0.0,0.0
3.958546,36.0,0.083333,0.47222200000000003,0.0,0.0,0.0
4.126107,38.0,0.10526300000000001,0.315789,1.0,0.0,0.0
3.46772,28.0,0.07142899999999999,0.0,0.0,0.0,0.0
4.083616999999999,28.0,0.14285699999999998,0.428571,1.0,0.0,0.0
4.616875,34.0,0.117647,0.17647100000000002,0.0,0.0,0.0
4.004344000000001,27.0,0.148148,0.44444399999999995,1.0,0.0,0.0
3.2776129999999997,11.0,0.181818,0.454545,0.0,0.0,0.0
2.9477029999999997,9.0,0.22222199999999998,0.555556,0.0,0.0,0.0
3.392747,13.0,0.153846,0.384615,1.0,0.0,0.0
3.2776129999999997,11.0,0.181818,0.454545,0.0,0.0,0.0
3.251629,12.0,0.166667,0.0,0.0,0.0,0.0
3.5216410000000002,14.0,0.14285699999999998,0.0,0.0,0.0,0.0
3.5849629999999997,12.0,0.166667,0.583333,0.0,0.0,0.0
4.633441,52.0,0.134615,0.09615399999999999,1.0,0.0,0.0
4.69037,54.0,0.12963,0.092593,1.0,0.0,0.0
4.021928,20.0,0.1,0.65,0.0,0.0,0.0
4.803013,76.0,0.118421,0.039474,1.0,0.0,0.0
4.220168,31.0,0.193548,0.0,1.0,0.0,0.0
4.106376999999999,27.0,0.148148,0.0,1.0,0.0,0.0
4.134336,27.0,0.148148,0.0,1.0,0.0,0.0
3.921928,20.0,0.1,0.0,1.0,0.0,0.0
3.9161269999999995,21.0,0.14285699999999998,0.0,1.0,0.0,0.0
4.004886,22.0,0.090909,0.0,1.0,0.0,0.0
3.9161269999999995,21.0,0.095238,0.0,1.0,0.0,0.0
3.879664,22.0,0.136364,0.0,1.0,0.0,0.0
3.784942,21.0,0.095238,0.0,1.0,0.0,0.0
3.879664,22.0,0.090909,0.0,1.0,0.0,0.0
3.879664,22.0,0.090909,0.0,1.0,0.0,0.0
3.784942,21.0,0.095238,0.0,1.0,0.0,0.0
3.921928,20.0,0.1,0.0,1.0,0.0,0.0
3.725481,18.0,0.166667,0.0,1.0,0.0,0.0
3.826875,19.0,0.10526300000000001,0.0,1.0,0.0,0.0
3.725481,18.0,0.11111099999999999,0.0,1.0,0.0,0.0
3.6818809999999997,19.0,0.157895,0.0,1.0,0.0,0.0
3.572431,18.0,0.11111099999999999,0.0,1.0,0.0,0.0
3.6818809999999997,19.0,0.10526300000000001,0.0,1.0,0.0,0.0
3.6818809999999997,19.0,0.10526300000000001,0.0,1.0,0.0,0.0
3.826875,19.0,0.10526300000000001,0.0,1.0,0.0,0.0
3.572431,18.0,0.11111099999999999,0.0,1.0,0.0,0.0
3.624199,135.0,0.666667,0.02963,0.0,0.0,0.0
4.425175,93.0,0.49462399999999995,0.043011,0.0,0.0,0.0
3.5957480000000004,101.0,0.643564,0.0,0.0,0.0,0.0
4.319502,80.0,0.4125,0.0,0.0,0.0,0.0
2.5,8.0,0.25,0.0,0.0,0.0,0.0
2.663533,11.0,0.181818,0.0,1.0,0.0,0.0
3.9394709999999997,25.0,0.0,0.36,1.0,0.0,0.0
3.8512269999999997,24.0,0.0,0.375,1.0,0.0,0.0
3.511085,19.0,0.0,0.10526300000000001,0.0,0.0,0.0
4.646968,43.0,0.023256,0.418605,1.0,0.0,0.0
4.152518,32.0,0.0,0.28125,1.0,0.0,0.0
4.236369,27.0,0.0,0.259259,0.0,0.0,0.0
2.7254810000000003,9.0,0.44444399999999995,0.22222199999999998,0.0,0.0,0.0
