439146	4850	4304	27	1
464261	5133	4623	28	1
743	10	1	10	1
359	4	8	4	1
3296	19	24	13	1
1153	6	15	5	1
5236	17	117	18	1
1383	40	2	2	1
60642	719	327	23	1
120	3	1	3	1
283	4	4	4	1
437	9	10	6	1
557	5	10	5	1
270	5	1	6	1
411	15	9	12	1
447	10	18	6	1
4506	49	12	14	1
196	7	5	8	1
4830	77	124	12	1
268	3	5	3	1
229	5	4	7	1
343	7	13	8	1
2496	11	1	8	1
429700	5010	5047	28	1
507279	4074	4077	23	1
1037016	5860	8585	19	1
257	4	4	6	1
531024	4258	4237	23	1
238209	2816	1738	19	1
397756	4400	3808	24	1
19235	51	664	20	1
73237	1147	189	21	1
24528	547	136	21	1
62745	1200	147	21	1
2611	20	93	12	1
268	3	5	3	1
381919	4554	746	24	1
1081	15	24	14	1
405147	4815	894	23	1
7643	37	55	15	1
2441	47	40	16	1
144874	2867	55	21	1
188306	3599	219	24	1
3603	61	148	17	1
332252	4918	164	27	1
258	8	10	9	1
3233	12	90	11	1
3419	31	246	16	1
1581	26	39	14	1
3041	60	72	16	1
3936	80	48	15	1
179	4	5	3	1
262782	4979	109	24	1
482	15	15	11	1
1070	18	39	15	1
860	23	10	10	1
2819	49	75	15	1
4468	21	42	18	1
17814	408	100	19	1
905	12	15	5	1
636735	4655	5124	21	1
389379	4323	3905	27	1
275	5	1	3	1
306965	4070	11	17	1
278819	3116	141	17	1
662	14	18	11	1
404352	2909	567	18	1
355700	4257	710	24	1
1231	54	11	11	1
572	8	12	8	1
283	7	8	6	1
5782	43	317	14	1
3631	31	26	17	1
1224237	10603	5761	30	1
2472	47	40	16	1
322333	3198	2032	17	1
1155	18	60	7	1
44826	999	115	20	1
4345	31	244	12	1
233	2	6	2	1
279	0	4	0	1
22921	608	709	21	1
359	4	8	4	1
1132478	8699	4777	30	1
207800	4330	2035	17	1
82295	295	323	17	1
444100	5346	756	23	1
330	2	5	2	1
3474	38	134	17	1
428731	3084	3	17	1
2987	33	37	14	1
4505	71	147	20	1
166	4	6	3	1
342	7	13	6	1
943	21	45	16	1
113	3	1	3	1
465434	5147	4643	27	1
326249	3829	583	23	1
909969	7033	3871	30	1
436081	5178	820	23	1
119058	2368	2711	14	1
262	3	1	3	1
4346	16	75	17	1
565	13	20	9	1
1076	33	19	13	1
311843	4756	4292	18	1
572	8	12	8	1
5450	44	153	14	1
443980	4901	4280	24	1
91271	2229	14	13	1
445	9	13	10	1
2867	53	55	17	1
651	12	18	8	1
918	33	31	16	1
5179	17	60	18	1
2487	11	1	8	1
2329	17	55	12	1
1328	14	97	12	1
330	2	5	2	1
811	33	27	16	1
164	0	2	0	1
4122	81	19	14	1
267	7	16	9	1
240	7	1	8	1
1729	19	3	12	1
367	4	16	4	1
77172	3349	103	15	1
2721	36	86	15	1
4731	34	280	19	1
171	5	10	5	1
577	6	10	4	1
258855	4904	111	24	1
330	2	5	2	1
409	4	13	4	1
10901	11	272	9	1
912	33	28	16	1
1332	26	43	16	1
203	0	2	0	1
285216	5487	109	24	1
7654	37	55	14	1
1202	21	5	16	1
